"Device Name","Scan Status","IP Address","Ping(ms)","Device Type Hint","Operating System (combined)","SMB Security","Brand","Group Name","MAC Address","Estimated Manufacture Year","Uptime","Discovered By","Detected IPs","Time Of Day","OS","OS Bits","OS Edition","OS Service Pack","OS Build","Description (Local)","Reverse DNS","NetBIOS Name","FQDN","Best Accessible By","Total Share GB","Boot Date","Username","SQL Server Info","Ping Attempts","Ping TTL","Est. Hops","Clock GMT Offset","Clock Difference","Scan Start Time","Scan Completed"
"192.168.17.x (2 devices, 1 unpingable)","Scan Complete","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12/03/2020 16:51:08"
"PCP-varPC-Tech","Scan Done (35 sec)","192.168.17.1","0","Windows Laptop","Windows 10 Professionnel (64-bit) (build 18362)","SMBv1+SMBv2 Enabled (ADMIN$ access)","Hewlett-Packard","WORKGROUP","AC-B5-7D-EB-66-B2","2015 - 70% (2014-2016)","-01h00m02s","Ping (0 ms)","192.168.17.1, 192.168.80.1, 192.168.1.39","12/03/2020 16:49:30","Windows 10","64","Professionnel","0","18362","Accueil WAMPSERVER","PCP-varPC-Tech","PCP-varPC-Tech","","PCP-VARPC-TECH","217","03/03/2020 05:25:50","Alexandre","","1","128","1","1","0","12/03/2020 16:49:16","12/03/2020 16:49:53"
"Vmware","Scan Done (112 sec) Unpingable?","192.168.17.254","-1","Unknown VM","Unknown","SMB Not Found","VMWare","","00-50-56-E8-87-97","N/A","","Ping (-1 ms)","","","Unknown","","","0","","","","","","","","","","","1","","","","0","12/03/2020 16:49:16","12/03/2020 16:51:08"
"192.168.80.x (2 devices, 1 unpingable)","Scan Complete","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12/03/2020 16:51:36"
"PCP-varPC-Tech","Scan Done (36 sec)","192.168.80.1","0","Windows Laptop","Windows 10 Professionnel (64-bit) (build 18362)","SMBv1+SMBv2 Enabled (ADMIN$ access)","Hewlett-Packard","WORKGROUP","AC-B5-7D-EB-66-B2","2015 - 70% (2014-2016)","-01h00m01s","Ping (0 ms)","192.168.17.1, 192.168.80.1, 192.168.1.39","12/03/2020 16:49:49","Windows 10","64","Professionnel","0","18362","Accueil WAMPSERVER","PCP-varPC-Tech","PCP-varPC-Tech","","PCP-VARPC-TECH","217","03/03/2020 05:25:50","Alexandre","","1","128","1","1","0","12/03/2020 16:49:34","12/03/2020 16:50:10"
"Vmware","Scan Done (121 sec) Unpingable?","192.168.80.254","-1","Unknown VM","Unknown","SMB Not Found","VMWare","","00-50-56-F0-A4-8A","N/A","","Ping (-1 ms)","","","Unknown","","","0","","","","","","","","","","","1","","","","0","12/03/2020 16:49:34","12/03/2020 16:51:36"
"192.168.1.x (26 devices, 5 unpingable)","Scan Complete","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12/03/2020 16:52:00"
"Oneaccess Rapid Logic 1.1","Scan Done (96 sec)","192.168.1.1","37","Gateway","Linux","SMB Not Found","OneAccess","","00-12-EF-63-C7-09","2011 - 21% (2004-2020)","","Ping (37 ms)","","","Linux","","","0","","","","","","","","","","","1","64","1","","0","12/03/2020 16:49:44","12/03/2020 16:51:21"
"Pegatron","Scan Done (99 sec) Unpingable?","192.168.1.9","-1","Unknown","Unknown","SMB Not Found","Pegatron","","E0-69-95-BF-39-81","2014 - 45% (2010-2015)","","Ping (-1 ms)","","","Unknown","","","0","","","","","","","","","","","2","","","","0","12/03/2020 16:50:03","12/03/2020 16:51:43"
"Formule1","Scan Done (59 sec)","192.168.1.10","88","Mac (80%)","OSX","SMB Not Found","Apple","WORKGROUP","90-84-0D-E8-C9-8F","2010 - 84% (2009-2010)","112d08h17m40s","Ping (88 ms)","192.168.1.10","","OSX","","","0","","50-34-10-70 Formule1","FORMULE1","FORMULE1","","","","21/11/2019 08:33:04","","","1","255","1","","0","12/03/2020 16:49:45","12/03/2020 16:50:44"
"Samsung","Scan Done (106 sec)","192.168.1.12","334","Unknown","Linux","SMB Not Found","Samsung","","24-FC-E5-82-DE-71","2018 - 96%","","Ping (334 ms)","","","Linux","","","0","","","","","","","","","","","1","64","1","","0","12/03/2020 16:49:45","12/03/2020 16:51:31"
"Patrick","Scan Done (25 sec)","192.168.1.13","25","Windows PC","Windows 10 Pro (build 18362)","SMBv1+SMBv2 Enabled (needs credentials)","HP","SPEEDKART","E8-39-35-3A-FD-CF","2011 - 83% (2011-2012)","-01h00m02s","Ping (25 ms)","192.168.1.13","12/03/2020 16:49:50","Windows 10","","Pro","0","18362","","Patrick","PATRICK","","PATRICK","","12/03/2020 17:49:52","","","1","128","1","1","-1","12/03/2020 16:49:45","12/03/2020 16:50:11"
"HP28924AB2514F","Scan Done (50 sec)","192.168.1.14","43","Print Server (80%)","Linux","SMB Not Found","HP","MSHOME","28-92-4A-B2-51-4F","2012 - 86%","24d21h25m49s","Ping (43 ms)","192.168.1.14","","Linux","","","0","","Officejet Pro 8600 [B2514F]","HP-Secretariat","HP28924AB2514F","","","","16/02/2020 19:24:46","","","1","255","1","","0","12/03/2020 16:49:45","12/03/2020 16:50:36"
"HP28924AB291FD","Scan Done (49 sec)","192.168.1.15","61","Print Server (80%)","Linux","SMB Not Found","HP","MSHOME","28-92-4A-B2-91-FD","2012 - 86%","61d02h43m30s","Ping (61 ms)","192.168.1.15","","Linux","","","0","","Officejet Pro 8600 [B291FD]","HPB291FD","HP28924AB291FD","","","","11/01/2020 14:07:05","","","1","255","1","","0","12/03/2020 16:49:46","12/03/2020 16:50:36"
"iMac-van-mac","Scan Done (119 sec)","192.168.1.17","201","Mac","OSX (64-bit)","SMBv2 Only (needs credentials)","Apple","","28-F0-76-41-B4-6A","2015 - 97%","-01h00m02s","Ping (201 ms)","192.168.1.17","12/03/2020 15:49:58","OSX","64","","0","7600","","iMac-van-mac","IMAC-VAN-MAC","iMac-van-mac.local","iMac-van-mac.local","","12/03/2020 16:50:00","","","1","64","1","0","-3602","12/03/2020 16:49:46","12/03/2020 16:51:46"
"HP28924AB1FE9F","Scan Done (48 sec)","192.168.1.20","43","Print Server (80%)","Linux","SMB Not Found","HP","MSHOME","28-92-4A-B1-FE-9F","2012 - 86%","08h47m13s","Ping (43 ms)","192.168.1.20","","Linux","","","0","","Officejet Pro 8600 [B1FE9F]","HPB1FE9F","HP28924AB1FE9F","","","","12/03/2020 08:03:21","","","1","255","1","","0","12/03/2020 16:49:46","12/03/2020 16:50:35"
"Azurewave","Scan Done (114 sec) Unpingable?","192.168.1.21","-1","Unknown","Unknown","SMB Not Found","AzureWave","","74-C6-3B-1D-7B-13","2016 - 69% (2015-2019)","","Ping (-1 ms)","","","Unknown","","","0","","","","","","","","","","","2","","","","0","12/03/2020 16:50:04","12/03/2020 16:51:58"
"Murata Manufacturing","Scan Done (115 sec)","192.168.1.22","184","Unknown","Linux","SMB Not Found","Murata Manufacturing","","D4-53-83-9E-91-3F","2020 - 81% (2018-2020)","","Ping (184 ms)","","","Linux","","","0","","","","","","","","","","","1","64","1","","0","12/03/2020 16:49:47","12/03/2020 16:51:42"
"SK-Bureau-Sandra","Scan Done (43 sec)","192.168.1.25","82","Windows PC","Windows 10 (build 18362)","SMBv2 Only (needs credentials)","Micro-Star INTL","WORKGROUP","30-9C-23-B4-19-74","2019 - 25% (2017-2020)","-01h00m01s","Ping (82 ms)","192.168.1.25","12/03/2020 15:49:52","Windows 10","","","0","18362","","SK-Bureau-Sandra","SK-BUREAU-SANDR","","SK-BUREAU-SANDR","","12/03/2020 16:49:53","","","1","128","1","0","-3601","12/03/2020 16:49:47","12/03/2020 16:50:31"
"HPA02BB8687CA6 (Toner 0% full)","Scan Done (46 sec)","192.168.1.27","336","Printer","Linux","SMB Not Found","HP","MSHOME","C4-34-6B-0D-15-26","2014 - 91%","14d08h03m23s","Ping (336 ms)","192.168.1.27","","Linux","","","0","","HP Officejet Pro 8610 [687CA6]","HPC4346B0D1526","HPC4346B0D1526","","","","27/02/2020 08:47:10","","","1","255","1","","0","12/03/2020 16:49:47","12/03/2020 16:50:33"
"Micro-star Intl","Scan Done (102 sec) Unpingable?","192.168.1.28","-1","Unknown","Unknown","SMB Not Found","Micro-Star INTL","","30-9C-23-1E-49-F0","2018 - 40% (2017-2020)","","Ping (-1 ms)","","","Unknown","","","0","","","","","","","","","","","2","","","","0","12/03/2020 16:50:04","12/03/2020 16:51:47"
"Pointeuse-PC","Scan Done (31 sec)","192.168.1.29","59","Windows PC","Windows 7 Home Premium SP1","SMBv1+SMBv2 Enabled (needs credentials)","HP","WORKGROUP","D4-85-64-9A-F7-84","2010 - 77% (2010-2011)","01h10m01s","Ping (59 ms)","192.168.1.29","12/03/2020 16:49:52","Windows 7","","Home Premium","1","7601","","Pointeuse-PC","POINTEUSE-PC","","POINTEUSE-PC","","12/03/2020 15:39:51","","","1","128","1","1","-1","12/03/2020 16:49:48","12/03/2020 16:50:19"
"Apple Mac","Scan Done (115 sec) Unpingable?","192.168.1.30","-1","Mac (50%)","OSX","SMB Not Found","Apple","","00-DB-70-BA-95-08","2017 - 95%","","Ping (-1 ms)","","","OSX","","","0","","","","","","","","","","","2","","","","0","12/03/2020 16:50:04","12/03/2020 16:52:00"
"Atelier","Scan Done (58 sec) Unpingable?","192.168.1.33","-1","Windows PC","Windows","SMB Not Found","Micro-Star INTL","SPEEDKART","30-9C-23-E1-C9-A1","2019 - 25% (2017-2020)","","Ping (-1 ms)","192.168.1.33","","Windows","","","0","","","Atelier","ATELIER","","","","","","","2","","","","0","12/03/2020 16:50:03","12/03/2020 16:51:01"
"MacBook-Pro-FG-2","Scan Done (62 sec)","192.168.1.35","141","Mac (80%)","OSX","SMB Not Found","Apple","","38-F9-D3-AC-41-B3","2018 - 97%","","Ping (141 ms)","192.168.1.35","","OSX","","","0","","MacBook Pro FG","MACBOOKPRO-41B3","MACBOOKPRO-41B3","","","","","","","1","64","1","","0","12/03/2020 16:49:48","12/03/2020 16:50:50"
"PCP-varPC-Tech","Scan Done (32 sec)","192.168.1.39","0","Windows Laptop","Windows 10 Professionnel (64-bit) (build 18362)","SMBv1+SMBv2 Enabled (ADMIN$ access)","Hewlett-Packard","WORKGROUP","AC-B5-7D-EB-66-B2","2015 - 70% (2014-2016)","-01h00m01s","Ping (0 ms)","","12/03/2020 16:50:17","Windows 10","64","Professionnel","0","18362","Accueil WAMPSERVER","","PCP-VARPC-TECH","","PCP-VARPC-TECH","217","03/03/2020 05:25:50","Alexandre","","1","128","1","1","0","12/03/2020 16:50:03","12/03/2020 16:50:37"
"Bodet","Scan Done (100 sec)","192.168.1.100","62","Unknown","Linux","SMB Not Found","Bodet","","00-0B-84-08-B8-E9","2004 - 38% (2003-2017)","","Ping (62 ms)","","","Linux","","","0","","","","","","","","","","","1","64","1","","0","12/03/2020 16:49:48","12/03/2020 16:51:30"
"SK-Chrono-Adulte","Scan Done (47 sec)","192.168.1.101","379","Windows PC","Windows 7 Professional SP1","SMBv1+SMBv2 Enabled (file share access)","Micro-Star INTL","CHRONO","D8-CB-8A-BF-A8-B4","2014 - 50% (2014-2020)","02h41m18s","Ping (379 ms)","192.168.1.101","12/03/2020 16:49:53","Windows 7","","Professional","1","7601","SK-Chrono-Adult","SK-Chrono-Adulte","SK-CHRONO-ADULT","","SK-CHRONO-ADULT","528","12/03/2020 14:08:35","","","1","128","1","1","-2","12/03/2020 16:49:49","12/03/2020 16:50:37"
"Zhejiang Dahua IP","Scan Done (79 sec)","192.168.1.108","72","IP Camera (90%)","Linux","SMB Not Found","Zhejiang Dahua","","3C-EF-8C-12-B2-23","2015 - 67% (2015-2020)","","Ping (72 ms)","","","Linux","","","0","","","","","","","","","","","1","64","1","","0","12/03/2020 16:49:49","12/03/2020 16:51:09"
"4L086B0PAG1E6DF","Scan Done (75 sec)","192.168.1.200","46","IP Camera (90%)","Linux","SMB Not Found","Zhejiang Dahua","","9C-14-63-42-9D-9E","2019 - 74% (2018-2020)","","Ping (46 ms)","","","Linux","","","0","","4L086B0PAG1E6DF","","","","","","","","","1","64","1","","0","12/03/2020 16:49:49","12/03/2020 16:51:05"
"3H02072PAF00903","Scan Done (74 sec)","192.168.1.201","47","IP Camera (90%)","Linux","SMB Not Found","Zhejiang Dahua","","E0-50-8B-D3-2D-66","2019 - 56% (2016-2020)","","Ping (47 ms)","","","Linux","","","0","","3H02072PAF00903","","","","","","","","","1","64","1","","0","12/03/2020 16:49:49","12/03/2020 16:51:03"
"4L086B0PAG6318F","Scan Done (77 sec)","192.168.1.202","56","IP Camera (90%)","Linux","SMB Not Found","Zhejiang Dahua","","9C-14-63-42-98-9D","2019 - 74% (2018-2020)","","Ping (56 ms)","","","Linux","","","0","","4L086B0PAG6318F","","","","","","","","","1","64","1","","0","12/03/2020 16:49:49","12/03/2020 16:51:07"
"Amb It Holding","Scan Done (103 sec)","192.168.1.221","45","Unknown","Linux","SMB Not Found","AMB IT Holding","","00-04-B7-04-23-08","2002 - 40% (2002-2016)","","Ping (45 ms)","","","Linux","","","0","","","","","","","","","","","1","64","1","","0","12/03/2020 16:49:50","12/03/2020 16:51:33"

